name,short_description,description,type,available_formats,source,coverage_extent,data_download_lvl,statewide_coverage,footprint,download_size,recommended_use,date_created,tags,known_issues,alternative_data,derivative_data,spatial_reference,relationship_tag,category,download,download_link,order,wms_category,wms_link,pop_link,status_map_cartodb_id,agency,agency_web,agency_gis_page,date_added,license,tile_index,supplemental_report
HPIDS Galveston 2009 6in CIR,The 6-inch orthoimagery were acquired in May 2009 during leaf-on conditions. The dataset covers Galveston Island and adjacent coastal areas north and south of the island.,"The 6-inch and 12-inch orthoimagery were acquired in January 2013 during leaf-off conditions. The dataset covers Brazos County and portions of Grimes County. Area covered is approximately 766 square miles. 

Five local entities and TNRIS contributed funds to collect the new imagery using the [High Priority Imagery and Data Sets (HPIDS)](high-priority-imagery-data-sets) State contract administered by the [TNRIS Strategic Mapping Program (StratMap)](stratmap/index). High resolution 6-inch and 12-inch 4-band (RGBIR) natural color and color infrared orthoimagery.",Raster/Imagery,JP2,"TNRIS, TFS, GLO",Galveston Island and adjacent coastal areas north and south of the island. Area covered is approximately 60 square miles.,qquad,,1/4 USGS Quadrangle,11.3 GB,"Basemap, Research",2009,"Galveston, County, Orthoimagery, Imagery, Aerial Photography, NC, Natural Color, CIR, Color Infrared, Historical",None,"NAIP, TOP",Mosaics,[EPSG 26915](https://epsg.io/26915),,Orthoimagery - Regional,T,,,High Priority Imagery & Datasets,http://r.tnris.org/arcgis/services/HPIDS/HPIDS_Galveston_2009_CIR/ImageServer/WMSServer,http://r.tnris.org/arcgis/rest/services/HPIDS/HPIDS_Galveston_2009_CIR/ImageServer?f=jsapi,f2a194a8-dee6-11e4-9d17-0e9d821ea90d,,,,2014-02-01,CC0,T,T
HPIDS Galveston 2009 6in NC\CIR,The 6-inch orthoimagery were acquired in May 2009 during leaf-on conditions. The dataset covers Galveston Island and adjacent coastal areas north and south of the island.,"The 6-inch orthoimagery were acquired in May 2009 during leaf-on conditions. The dataset covers Galveston Island and adjacent coastal areas north and south of the island. Area covered is approximately 60 square miles. 

Two state agencies contributed funds to collect the new imagery using the [High Priority Imagery and Data Sets (HPIDS)](high-priority-imagery-data-sets) State contract administered by the [TNRIS Strategic Mapping Program (StratMap)](stratmap/index). High resolution 6-inch 4-band (RGBIR) natural color and color infrared orthoimagery.",Raster/Imagery,MrSID,"TNRIS, TFS, GLO",Galveston Island and adjacent coastal areas north and south of the island. Area covered is approximately 60 square miles.,qquad,,1/4 USGS Quadrangle,11.3 GB,"Basemap, Research",2009,"Galveston, County, Orthoimagery, Imagery, Aerial Photography, NC, Natural Color, CIR, Color Infrared, Historical",None,"NAIP, TOP",Mosaics,[EPSG 26915](https://epsg.io/26915),,Orthoimagery - Regional,T,,,High Priority Imagery & Datasets,http://r.tnris.org/arcgis/services/HPIDS/HPIDS_Galveston_2009_NC/ImageServer/WMSServer,http://r.tnris.org/arcgis/rest/services/HPIDS/HPIDS_Galveston_2009_NC/ImageServer?f=jsapi,f2a194a8-dee6-11e4-9d17-0e9d821ea90d,,,,2014-02-01,CC0,T,T
HPIDS Georgetown 2015 6in NC\CIR,"The 6-inch orthoimagery covering the City of Georgetown, northern and western Williamson County, and southwest Bell County.","The 6-inch orthoimagery covering the City of Georgetown, northern and western Williamson County, and southwest Bell County was flown during the 2015 leaf-off season in early March. The area is part of the [2014/2015 Statewide Orthoimagery Project](2015-statewide-orthoimagery-project) under the Texas Orthoimagery Program (TOP) administered by the Texas Natural Resources Information System (TNRIS), part of the Texas Water Development Board (TWDB) for 0.5-meter orthoimagery statewide. The Statement of Work was issued by the Strategic Mapping Program (StratMap) of TNRIS. 

The City of Georgetown was a contributing partner to BUY-UP or increase pixel resolution for the Georgetown/Williamson County area from 0.5-meter to 6-inch. The orthoimagery are 4-band (R,G,B,NIR), natural color and color infrared capable. Each image tile covers one 64th of a USGS Digital Orthophoto Quad (DOQ) resulting in a DO4Q or approximately 1 square mile with minimum 300-foot buffers. Available image formats are compressed JPEG2000 and uncompressed GeoTIFF.",Raster,"GeoTiff, JPEG 2000",TNRIS,City of Georgetown,qquad,,1/64 USGS Quadrangle,400 MB,Basemap,2015,"City of Georgetown, Williamson County, Bell County, Orthoimagery, Imagery, Aerial Photography, NC, Natural Color, CIR, Color Infrared, Historical",None,"NAIP, TOP",Mosaics,[EPSG 2277](https://epsg.io/2277),,Orthoimagery - Regional,T,,,High Priority Imagery & Datasets,http://r.tnris.org/arcgis/services/HPIDS/HPIDS_Georgetown_2015_NC/ImageServer/WMSServer,http://r.tnris.org/arcgis/rest/services/HPIDS/HPIDS_Georgetown_2015_NC/ImageServer?f=jsapi,7db10e2c-6b8f-11e5-bd52-0ecfd53eb7d3,,,,2015-10-19,CC0,T,T
HPIDS Houston 2013 1ft NC\CIR,"The 12-inch orthoimagery were acquired between January and February 2013 during leaf-off conditions. The dataset covers portions of Harris County, mainly over the City of Houston.","The 12-inch orthoimagery were acquired between January and February 2013 during leaf-off conditions. The dataset covers portions of Harris County, mainly over the City of Houston. Area covered is approximately 805 square miles. 

One local entity contributed funds to collect the new imagery using the [High Priority Imagery and Data Sets (HPIDS)](high-priority-imagery-data-sets) State contract administered by the [TNRIS Strategic Mapping Program (StratMap)](stratmap/index). High resolution 12-inch 4-band (RGBIR) natural color and color infrared orthoimagery.",Raster/Imagery,JP2,"TNRIS, Houston","Harris County, mainly over the City of Houston. Area covered is approximately 805 square miles.",qquad,,1/64 USGS Quadrangle,7.84 GB,"Basemap, Research",2013,"Houston, Harris, Orthoimagery, Aerial, Imagery, Natural, Infrared, Color, NC, CIR, Historical",None,"NAIP, TOP",Mosaics,[EPSG 2278](https://epsg.io/2278),,Orthoimagery - Regional,T,,,High Priority Imagery & Datasets,http://r.tnris.org/arcgis/services/HPIDS/HPIDS_Houston_2013_NC/ImageServer/WMSServer,http://r.tnris.org/arcgis/rest/services/HPIDS/HPIDS_Houston_2013_NC/ImageServer?f=jsapi,23aadfe2-dc61-11e4-9eee-0e4fddd5de28,,,,2014-02-01,CC0,T,T
HPIDS NGA\USGS 2015 1ft NC\CIR ,"The 12-inch orthoimagery were acquired in 2015 during leaf-on conditions. The dataset covers four citywide areas: Amarillo, Dallas-Fort Worth, El Paso, and Lubbock.","The 12-inch orthoimagery were acquired in 2015 during leaf-on conditions. The dataset covers four citywide areas: Amarillo, Dallas-Fort Worth, El Paso, and Lubbock. Area covered in total by all three areas is approximately 4,360 square miles.                                                                                                                                                                                                                                 The National Geospatial-Intelligence Agency\U.S. Geological Survey contributed funds to collect the new imagery using the [High Priority Imagery and Data Sets (HPIDS)](high-priority-imagery-data-sets) State contract administered by the [TNRIS Strategic Mapping Program (StratMap)](stratmap/index). High resolution 12-inch 4-band (RGBIR) natural color and color infrared orthoimagery.",Raster/Imagery,"GeoTIFF, JPEG2000","TNRIS, NGA, USGS","Cities of Amarillo, Dallas-Fort Worth, El Paso, and Lubbock. Area covered is approximately 4,360 square miles.",qquad,,1/64 USGS Quadrangle,,"Basemap, Research",2015,"Amarillo, Dallas, Fort Worth, El Paso, Lubbock, Natural, Infrared, Color, Orthoimagery, Aerial Imagery",None,"NAIP, TOP",Mosaics,"[EPSG 32613](https://epsg.io/32613),[EPSG 32614](https://epsg.io/32614)",,Orthoimagery - Regional,T,,,,,,3eeb0c6e-df08-11e5-be12-0e787de82d45,,,,2016-03-14,CC0,T,T
HPIDS SARA 2015 6in NC\CIR,"The 6-inch orthoimagery covering the San Antonio River, southeastern Wilson County, Karnes County, and Goliad County, TX were flown during the 2015 leaf-off season in late March.","The 6-inch orthoimagery covering the San Antonio River, southeastern Wilson County, Karnes County, and Goliad County, TX were flown during the 2015 leaf-off season in late March. The area is part of the [2014/2015 Statewide Orthoimagery Project](2015-statewide-orthoimagery-project) under the Texas Orthoimagery Program (TOP) administered by the Texas Natural Resources Information System (TNRIS), part of the Texas Water Development Board (TWDB) for 0.5-meter orthoimagery statewide. The Statement of Work was issued by the Strategic Mapping Program (StratMap) of TNRIS. The San Antonio River Authority was a contributing partner to BUY-UP or increase pixel resolution for the San Antonio River area from 0.5-meter to 6-inch. 

The orthoimagery are 4-band (R,G,B,NIR), natural color and color infrared capable. Each image tile covers one 64th of a USGS Digital Orthophoto Quad (DOQ) resulting in a DO4Q or approximately 1 square mile with minimum 300-foot buffers.",Raster,JPEG2000,TNRIS,"San Antonio River, southeastern Wilson County, Karnes County, and Goliad County, TX",qquad,,1/64 USGS Quadrangle,,Basemap,2015,"San Antonio River, Wilson County, Karnes County, Goliad County, Orthoimagery, Imagery, Aerial Photography, NC, Natural Color, CIR, Color Infrared, Historical",None,None,None,[EPSG 2278](https://epsg.io/2278),,Orthoimagery - Regional,T,,,High Priority Imagery & Datasets,http://r.tnris.org/arcgis/services/HPIDS/HPIDS_SARA_2015_NC/ImageServer/WMSServer,http://r.tnris.org/arcgis/rest/services/HPIDS/HPIDS_SARA_2015_NC/ImageServer?f=jsapi,74be531c-897e-11e5-9e0b-0e5db1731f59,,,,2015-11-01,CC0,T,T
HPIDS Smith 2010 1ft NC\CIR,The 6-inch and 12-inch orthoimagery were acquired between January and February 2010 during leaf-off conditions. The dataset covers Smith County and adjacent Lake Palestine.,"The 6-inch and 12-inch orthoimagery were acquired between January and February 2010 during leaf-off conditions. The dataset covers Smith County and adjacent Lake Palestine. Area covered is approximately 1,432 square miles. 

Four local entities and TNRIS contributed funds to collect the new imagery using the High Priority Imagery and Data Sets (HPIDS) State contract administered by the TNRIS Strategic Mapping Program (StratMap). High resolution 6-inch and 12-inch 4-band (RGBIR) natural color and color infrared orthoimagery.",,JP2,,"Smith County and adjacent Lake Palestine. Area covered is approximately 1,432 square miles.",qquad,,1/16 USGS Quadrangle,27.5 GB,"Basemap, Research",2010,"Tyler, Smith, County, Lake Palestine, Natural, Infrared, Color, Orthoimagery, Aerial Imagery, Historical",None,"NAIP, TOP",Mosaics,[EPSG 2276](https://epsg.io/2276),,Orthoimagery - Regional,T,,,High Priority Imagery & Datasets,http://r.tnris.org/arcgis/services/HPIDS/HPIDS_Smith_2010_NC/ImageServer/WMSServer,http://r.tnris.org/arcgis/rest/services/HPIDS/HPIDS_Smith_2010_NC/ImageServer?f=jsapi,fd8db288-dee7-11e4-9329-0e018d66dc29,,,,2014-02-01,CC0,T,T
HPIDS Smith 2014 6in NC\CIR,The 6-inch orthoimagery were acquired in early January 2014 during leaf-off conditions. The dataset covers Smith County and adjacent Lake Palestine.,"The 6-inch orthoimagery were acquired in early January 2014 during leaf-off conditions. The dataset covers Smith County and adjacent Lake Palestine. Area covered is approximately 1,166 square miles. 

Four local entities and TNRIS contributed funds to collect the new imagery using the [High Priority Imagery and Data Sets (HPIDS)](high-priority-imagery-data-sets) State contract administered by the [TNRIS Strategic Mapping Program (StratMap)](stratmap/index). High resolution 6-inch 4-band (RGBIR) natural color and color infrared orthoimagery.",Raster/Imagery,JP2,"TNRIS, Smith County 9-1-1, Tyler, Smith County, SCAD","Smith County and adjacent Lake Palestine. Area covered is approximately 1,166 square miles.",qquad,,1/64 USGS Quadrangle,42.6 GB,"Basemap, Research",2014,"Tyler, Smith, County, Lake Palestine, Natural, Infrared, Color, Orthoimagery, Aerial Imagery",None,"NAIP, TOP",Mosaics,[EPSG 2276](https://epsg.io/2276),,Orthoimagery - Regional,T,,,High Priority Imagery & Datasets,http://r.tnris.org/arcgis/services/HPIDS/HPIDS_Smith_2014_NC/ImageServer/WMSServer,http://r.tnris.org/arcgis/rest/services/HPIDS/HPIDS_Smith_2014_NC/ImageServer?f=jsapi,4b965d04-dee8-11e4-9ab9-0e0c41326911,,,,2014-02-01,CC0,T,T
HPIDS Smith 2016 6in NC\CIR,The 6-inch orthoimagery were acquired in early January 2016 during leaf-off conditions. The dataset covers Smith County and adjacent Lake Palestine.,"The 6-inch orthoimagery were acquired in early January 2016 during leaf-off conditions. The dataset covers Smith County and adjacent Lake Palestine. Area covered is approximately 1,166 square miles. 

Four local entities contributed funds to collect the new imagery using the [High Priority Imagery and Data Sets (HPIDS)](high-priority-imagery-data-sets) State contract administered by the [TNRIS Strategic Mapping Program (StratMap)](stratmap/index). High resolution 6-inch 4-band (RGBIR) natural color and color infrared orthoimagery.",Raster/Imagery,"GeoTIFF, JPEG2000","TNRIS, Smith County 9-1-1, City of Tyler, Smith County, SCAD","Smith County and adjacent Lake Palestine. Area covered is approximately 1,166 square miles.",qquad,,1/64 USGS Quadrangle,,"Basemap, Research",2016,"Tyler, Smith, County, Lake Palestine, Natural, Infrared, Color, Orthoimagery, Aerial Imagery",None,"NAIP, TOP",Mosaics,[EPSG 2276](https://epsg.io/2276),,Orthoimagery - Regional,T,,,,,,f0086f04-dafe-11e5-b1d2-0e674067d321,,,,2016-02-26,CC0,T,T
HPIDS South Texas 2013 6in\9in\12in NC,"The 6-inch, 9-inch, and 12-inch orthoimagery were acquired between December 2012 and February 2013 during leaf-off conditions. The dataset covers these counties: Zapata, Jim Hogg, Starr, Hidalgo, Willacy, and portions of Cameron.","The 6-inch, 9-inch, and 12-inch orthoimagery were acquired between December 2012 and February 2013 during leaf-off conditions. The dataset covers these counties: Zapata, Jim Hogg, Starr, Hidalgo, Willacy, and portions of Cameron. Area covered is approximately 6,236 square miles. 

Eleven local entities and one federal agency contributed funds to collect the new imagery using the [High Priority Imagery and Data Sets (HPIDS)](high-priority-imagery-data-sets) State contract administered by the [TNRIS Strategic Mapping Program (StratMap)](stratmap/index). High resolution 6-inch, 9-inch, and 12-inch 3-band (RGB) natural color orthoimagery.",Raster/Imagery,JP2,"TNRIS, BPUB, Laredo, McAllen, Pharr, Port Isabel, Weslaco, HCDD#1, HCMPO, HCRMA, LMWD, LRGVDC, USGS","Zapata, Jim Hogg, Starr, Hidalgo, Willacy, and portions of Cameron. Area covered is approximately 6,236 square miles.",qquad,,1/64 USGS Quadrangle,163 GB,"Basemap, Research",2013,"Zapata, Jim Hogg, Starr, Hidalgo, Willacy, Cameron, County, McAllen, ",None,"NAIP, TOP",Mosaics,[EPSG 2279](https://epsg.io/2279),,Orthoimagery - Regional,T,,,High Priority Imagery & Datasets,http://r.tnris.org/arcgis/services/HPIDS/HPIDS_South_Texas_2013_NC/ImageServer/WMSServer,http://r.tnris.org/arcgis/rest/services/HPIDS/HPIDS_South_Texas_2013_NC/ImageServer?f=jsapi,ab486bac-dee8-11e4-812f-0e4fddd5de28,,,,2014-01-14,CC0,T,T
HPIDS TPWD 2015 6in\1ft NC\CIR ,"The 6-inch\12-inch orthoimagery were acquired in 2015 during leaf-on conditions. The dataset covers three small areas: Hidden Pines near the City of Bastrop, Hueco Tanks near the City of El Paso, and Powderhorn Ranch near the City of Port O'Connor.","The 6-inch\12-inch orthoimagery were acquired in 2015 during leaf-on conditions. The dataset covers three small areas: 
- Hidden Pines near the City of Bastrop
- Hueco Tanks near the City of El Paso
- Powderhorn Ranch near the City of Port O'Connor.

Area covered in total by all three areas is approximately 220 square miles.                                                                                                                                                                                                                                 

The Texas Parks and Wildlife Department contributed funds to collect the new imagery using the [High Priority Imagery and Data Sets (HPIDS)](high-priority-imagery-data-sets) State contract administered by the [TNRIS Strategic Mapping Program (StratMap)](stratmap/index). High resolution 6-inch\12-inch 4-band (RGBIR) natural color and color infrared orthoimagery.",Raster/Imagery,"GeoTIFF, JPEG2000","TNRIS, TPWD","Hidden Pines near the City of Bastrop, Hueco Tanks near the City of El Paso, and Powderhorn Ranch near the City of Port O'Connor.",qquad,,1/64 USGS Quadrangle,,"Basemap, Research",2015,"Hidden Pines, Bastrop, Hueco Tanks, El Paso, Powderhorn Ranch, Port O'Connor, Natural, Infrared, Color, Orthoimagery, Aerial Imagery",None,"NAIP, TOP",Mosaics,"[EPSG 2277](https://epsg.io/2277), [EPSG 2278](https://epsg.io/2278)",,Orthoimagery - Regional,T,,,,,,dd5ba2c6-df05-11e5-90a3-0ea31932ec1d,,,,2016-03-14,CC0,T,T
HPIDS University Lands 2015 6in NC\CIR,"The 6-inch orthoimagery covering portions of the following TX counties: Andrews County, Crane County, Crockett County, Loving County, Pecos County, Reagan County, Terrell County, Upton County, Ward County, Winkler County were flown during the 2015 leaf-off season in early March.","The 6-inch orthoimagery covering portions of the following TX counties: Andrews County, Crane County, Crockett County, Loving County, Pecos County, Reagan County, Terrell County, Upton County, Ward County, Winkler County were flown during the 2015 leaf-off season in early March. The area is part of the 2014/2015 Statewide Orthoimagery Project under the Texas Orthoimagery Program (TOP) administered by the Texas Natural Resources Information System (TNRIS), part of the Texas Water Development Board (TWDB) for 0.5-meter orthoimagery statewide. The Statement of Work was issued by the Strategic Mapping Program (StratMap) of TNRIS. The University Lands was a contributing partner to BUY-UP or increase pixel resolution for the West TX area from 0.5-meter to 6-inch. The orthoimagery are 4-band (R,G,B,NIR), natural color and color infrared capable. Each image tile covers one 64th of a USGS Digital Orthophoto Quad (DOQ) resulting in a DO4Q or approximately 1 square mile with minimum 300-foot buffers. 

Orthoimagery datasets are valuable mapping assets benefitting natural resources, energy, environmental, emergency management, land use planning, economic development, and policy interests. The aerial imagery was acquired from aircraft with digital camera sensors and processed as highly accurate digital orthoimagery that are used to identify current conditions, features, and changes on the ground serving as a base reference for other map information.

This dataset was acquired through the High Priority Imagery and Data Sets (HPIDS) contract. The contract was created in 2009 to maximize spending power by coordinating geospatial data purchases to share costs and to ensure that acquired data meet high standards of quality. The successor to HPIDS is the StratMap contract, established in 2015.",Raster,JPEG2000,TNRIS,"Andrews, Crane, Crockett, Loving, Pecos, Reagan, Terrell, Upton, Ward, Winkler County",qquad,,1/64 USGS Quadrangle,,Basemap,2015,"Andrews County, Crane County, Crockett County, Loving County, Pecos County, Reagan County, Terrell County, Upton County, Ward County, Winkler County, Orthoimagery, Imagery, Aerial Photography, NC, Natural Color, CIR, Color Infrared, Historical",None,None,None,[EPSG 2277](https://epsg.io/2277),,Orthoimagery - Regional,T,,,High Priority Imagery & Datasets,http://r.tnris.org/arcgis/services/HPIDS/HPIDS_University_Lands_2015_NC/ImageServer/WMSServer,http://r.tnris.org/arcgis/rest/services/HPIDS/HPIDS_University_Lands_2015_NC/ImageServer?f=jsapi,7be95858-8fa0-11e5-8433-0e3ff518bd15,,,,2015-11-22,CC0,T,T
IBWC 2006 70cm,Lidar for Cameron County,"Provide high density Lidar elevation data map of IBWC. Provide Bare Earth DEM (vegetation removal) of Cameron County, TX. This Lidar operation was designed to provide a high density set of mass points within the defined areas. The data sets are suitable for the development of contours for use in hydraulic/hydrologic model development, and for assessing environmental impacts. 

Typical uses for the data set include: Flood Risk MAP (Mapping, Assessment, and Planning). DFIRM map updates. Watersheds and other hydro studies per FEMA specifications. County Mapping projects which include several uses, in addition to Flood mitigation assessment. Mapping projects that include accuracy verification, reporting and meta data.",Raster,LAS,IBWC,"Cameron, Willacy, Portions of Hidalgo, Starr, Zapata over the Rio Grande",,,IBWC Flight Grid,,"Basemap, Research, Analysis",2006,"Cameron, Willacy, Hidalgo, International Boundary Water Commission, IBWC, Border, Rio Grande, County, Lidar, Point Cloud, LAS, Elevation, Flood",,"1M Hydro-Enforced DEM, 3D Breaklines",None,[EPSG 2279](https://epsg.io/2279),,Lidar,,,T,,,,95594664-df96-11e4-905a-0e9d821ea90d,International Boundary and Water Commission,www.ibwc.state.gov/,,2014-02-01,CC0,Lidar,
IBWC 2011 6in NC,The 6-inch orthoimagery were acquired between December 2010 and April 2011 during leaf-off conditions. The dataset covers portions of the Texas/Mexico border on the US side.,"The 6-inch orthoimagery were acquired between December 2010 and April 2011 during leaf-off conditions. The dataset covers portions of the Texas/Mexico border on the US side. Area covered is approximately 6,581 square miles. High resolution 6-inch 3-band (RGB) natural color orthoimagery .",Raster/Imagery,MrSID,IBWC,"Texas/Mexico border on the US side. Area covered is approximately 6,581 square miles.",qquad,,US National Grid,"143 GB (US), 41.6 (MEX)","Basemap, Research",2011,"International Border, Border, Rio Grande, IBWC, Natural Color, NC, Orthoimagery, Aerial Imagery, Historical",None,"NAIP, TOP",Mosaics,"[EPSG 26913](https://epsg.io/26913), [EPSG 26914](https://epsg.io/26914)",,Orthoimagery - Regional,T,,,International Boundary and Water Commission,http://r.tnris.org/arcgis/services/IBWC/IBWC_2011_NC/ImageServer/WMSServer,http://r.tnris.org/arcgis/rest/services/IBWC/IBWC_2011_NC/ImageServer?f=jsapi,5ec5b932-dee9-11e4-a0cc-0e4fddd5de28,International Boundary and Water Commission,www.ibwc.state.gov/,,2014-02-01,CC0,T,
IBWC 2011 70cm,Lidar for Cameron County and Rio Grande River.,"Provide high density Lidar elevation data map of IBWC. Provide Bare Earth DEM (vegetation removal) of Cameron County, TX. This Lidar operation was designed to provide a high density set of mass points within the defined areas. The data sets are suitable for the development of contours for use in hydraulic/hydrologic model development, and for assessing environmental impacts. 

Typical uses for the data set include: Flood Risk MAP (Mapping, Assessment, and Planning). DFIRM map updates. Watersheds and other hydro studies per FEMA specifications. County Mapping projects which include several uses, in addition to Flood mitigation assessment. Mapping projects that include accuracy verification, reporting and meta data.",Raster,LAS,IBWC,"Cameron, Willacy, Portions of Hidalgo, Starr, Zapata, Webb, Maverick, Kinney, Val Verde, Presidio, Hudspeth, El Paso over the Rio Grande",,,US National Grid,,"Basemap, Research, Analysis",2011,"Cameron, Willacy, Hidalgo, International Boundary Water Commission, IBWC, Border, Rio Grande, County, Lidar, Point Cloud, LAS, Elevation, Flood",,"1M Hydro-Enforced DEM, 3D Breaklines","5ft Contours, Building Footprints","[EPSG 26913](https://epsg.io/26913), [EPSG 26914](https://epsg.io/26914)",,Lidar,,,T,,,,2daeec16-df97-11e4-a62d-0e853d047bba,International Boundary and Water Commission,www.ibwc.state.gov/,,2014-02-01,CC0,Lidar,
LCRA 2007 140cm,Lidar data for counties int he LCRA area.,"This Lidar operation was designed to provide a high density set of mass points within the defined areas. The data sets are suitable for the development of contours for use in hydraulic/hydrologic model development, and for assessing environmental impacts. 

Typical uses for the data set include: Flood Risk MAP (Mapping, Assessment, and Planning). DFIRM map updates. Watersheds and other hydro studies per FEMA specifications. County Mapping projects which include several uses, in addition to Flood mitigation assessment. Mapping projects that include accuracy verification, reporting and meta data.",Raster,LAS,LCRA,"Blanco, Gillespie, Burnet, Llano, Mason, Kimble, Menard, San Saba, McCulloch, Mills, Brown, Coleman, Concho",,,DOQQ,,"Basemap, Research, Analysis",2007,"Blanco, Gillespie, Burnet, Llano, Mason, Kimble, Menard, San Saba, McCulloch, Mills, Brown, Coleman, Concho, Lidar, Point Cloud, LAS, Elevation, County, Historical",,1.4M Hydro-Enforced DEM,5ft Contours,[EPSG 26914](https://epsg.io/26914),,Lidar,,,T,,,,e16c1340-df98-11e4-9e4c-0e0c41326911,Lower Colorado River Authority,www.lcra.org/,,2014-02-01,CC0,Lidar,T
Lidar Availability Index,Tile index of Lidar data available to order from TNRIS.,Tile index of Lidar data available to order from TNRIS.,Vector,Shapefile,TNRIS,Texas,state,,State,9.15 MB,Location,2001-2015,"Texas, Index, Indices, Lidar, Point Cloud, Status, Elevation",Number of Polygons,"GDB, None",None,[EPSG 3857](https://epsg.io/3857),,Boundary,,https://tnris-datadownload.s3.amazonaws.com/d/tnris-lidar/state/tx/tnris-lidar_tx.zip,,,,https://tnris-twdb.cartodb.com/u/tnris/viz/41bcf87c-0248-11e6-b572-0e31c9be1b51/public_map,99afc780-df99-11e4-8245-0e0c41326911,,,,2014-02-01,CC0,,
Low Water Crossings,Dataset showing documented low water crossing of Texas,This is the start of the statewide inventory of low water crossings in Texas. Various sources of data have been compiled to create this file. The purpose of this first phase to locate as many low water crossings as possible. Texas leads the nation in flood deaths and the majority of those deaths are in vehicles. It is thought that locating the low water crossings will better define risks of flooding,Vector,Shapefile,TNRIS,Texas,state,,State,,Basemap,2011,"Texas, Statewide, Watershed, Hydrography, Hydrology, HUC, Low Water Crossings","Age, Dataset has not been maintained or updated since 2010",None,None,[EPSG 4269](https://epsg.io/4269),,Floodplain,,https://tnris-datadownload.s3.amazonaws.com/d/tnris-lwx/state/tx/tnris-lwx_tx.zip,,,,,d5084e86-dec9-11e4-afda-0e0c41326911,,,,2014-02-01,CC0,,
LRGV 2011 6in NC,The 6-inch orthoimagery were acquired between December 2010 and April 2011 during leaf-off conditions.,"The 6-inch orthoimagery were acquired between December 2010 and April 2011 during leaf-off conditions. The dataset covers portions of the Texas/Mexico border on the US side. Area covered is approximately 6,581 square miles. High resolution 6-inch 3-band (RGB) natural color orthoimagery for portions of the Lower Rio Grande Valley.",Raster/Imagery,MrSID,"TNRIS, BPUB, Alton, Edinburg, McAllen, Pharr, Port Isabel, San Benito, HCAD, LMWD",Hidalgo and Cameron Counties and City of McAllen. Area covered is approximately 939 square miles.,quad,,US National Grid,13.3 GB,"Basemap, Research",2011,"McAllen, Hidalgo, Cameron, Aerial Imagery, Natural Color, NC, Orthoimagery, Historical",None,"NAIP, TOP",Mosaics,[EPSG 26914](https://epsg.io/26914),,Orthoimagery - Regional,T,,,,,,c757d424-deeb-11e4-a51e-0e9d821ea90d,,,,2014-02-01,CC0,T,
Lynn 2005 NC,Orthophoto dataset covering a portion of Lynn County - just south of the City of Lubbock.,"This imagery represents the uncompressed TIFF Tiles for the 2006 City of Lubbock 1""=100' color (0.5' GPR) orthophoto dataset covering a portion of Lynn County - just south of the City of Lubbock.",Raster/Imagery,"JPG, TIFF","Lynn County, City of Lubbock","City of Lubbock, Portions of Lynn County",,,Lynn County Flight Grid,6.56 GB,"Basemap, Research",2005,"Lubbock, Lynn, County, Aerial Imagery, Natural Color, NC, Orthoimagery, Historical",No Metadata,"NAIP, TOP",Mosaics,[EPSG 2278](https://epsg.io/2278),,Orthoimagery - Regional,,,T,,,,3b3c7822-18fd-11e5-aad1-0e018d66dc29,,,,2014-02-01,CC0,T,
National Agriculture Imagery Program (NAIP) 2004 1m CIR,The National Agriculture Imagery Program (NAIP) acquires aerial imagery during the agricultural growing seasons in the continental United States.,"The National Agriculture Imagery Program (NAIP) acquires aerial imagery during the agricultural growing seasons in the continental United States. It is administered by the USDA's Farm Service Agency (FSA) through the Aerial Photography Field Office (APFO) in Salt Lake City. The primary goal of the NAIP program is to make digital ortho photography available to governmental agencies and the public within a year of acquisition. 

This ""leaf-on"" imagery is used as a base layer for GIS programs in FSA's County Service Centers, and is used to maintain the Common Land Unit (CLU) boundaries. Projects are contracted each year based upon available funding and the FSA imagery acquisition cycle. Beginning in 2003, NAIP was acquired on a 5-year cycle. 2008 was a transition year, and a three-year cycle began in 2009. Since the NAIP program began in 2003, vendors have been transitioning to digital sensors in imagery acquisition. 

NAIP imagery products are available either as digital ortho quarter quad tiles (DOQQs) or as compressed county mosaics (CCM). The area for DOQQs corresponds to the USGS topographic quadrangles. Each image tile covers a 3.75 x 3.75 minute quarter quadrangle plus a 300 meter buffer on all four sides. CCMs are generated by compressing DOQQ image tiles into a single mosaic. All individual tile images and the resulting mosaic are rectified in the UTM coordinate system, NAD 83, and cast into a single predetermined UTM zone.",Raster,"GeoTiff, MrSID",USDA,Texas,"county,qquad",T,"1/4 USGS Quadrangle, County",9 MB,Basemap,2004,"Texas, Statewide, National Agricultural Imagery Program, NAIP, United States Department of Agriculture, USDA, Natural Resources Conservation Service, NRCS, Color Infrared, CIR, Orthoimagery, Aerial, Historical",None,None,Compressed County Mosaics,"[EPSG 26913](https://epsg.io/26913), [EPSG 26914](https://epsg.io/26914), [EPSG 26915](https://epsg.io/26915)",,Orthoimagery - Statewide,T,,,National Agriculture Imagery Program,http://r.tnris.org/arcgis/services/NAIP/NAIP_2004_1M_CIR/ImageServer/WMSServer,http://r.tnris.org/arcgis/rest/services/NAIP/NAIP_2004_1M_CIR/ImageServer?f=jsapi,d5084e86-dec9-11e4-afda-0e0c41326911,United States Department of Agriculture,http://www.fsa.usda.gov/programs-and-services/aerial-photography/imagery-programs/naip-imagery/,,2014-02-01,CC0,T,
